Year,State,Oxycodone / Hydrocodone,Index_x,Drug Type,Deaths Rate Per 100K,Index_y,Drug Sold per 100K
2001,Massachusetts,Hydrocodone,2887,Natural and semi-synthetic opioids,10.48661,817,2.23698
2001,Massachusetts,Oxycodone,2887,Natural and semi-synthetic opioids,10.48661,800,10.99394
2001,Michigan,Hydrocodone,3020,Natural and semi-synthetic opioids,6.17983,855,6.19496
2001,Michigan,Oxycodone,3020,Natural and semi-synthetic opioids,6.17983,838,5.61806
2001,Minnesota,Hydrocodone,3153,Natural and semi-synthetic opioids,3.6685,893,2.07171
2001,Minnesota,Oxycodone,3153,Natural and semi-synthetic opioids,3.6685,876,4.77149
2001,Mississippi,Hydrocodone,3286,All opioids,6.1572,931,6.93553
2001,Mississippi,Oxycodone,3286,All opioids,6.1572,914,6.18503
2001,Missouri,Hydrocodone,3419,Synthetic opioids,6.257630000000001,969,5.04053
2001,Missouri,Oxycodone,3419,Synthetic opioids,6.257630000000001,952,14.058029999999999
2001,Montana,Hydrocodone,3552,All opioids,6.23221,1007,4.98404
2001,Montana,Oxycodone,3552,All opioids,6.23221,990,7.8170399999999995
2001,Nebraska,Hydrocodone,3685,All opioids,3.9472099999999997,1045,3.98319
2001,Nebraska,Oxycodone,3685,All opioids,3.9472099999999997,1028,4.61269
2001,Nevada,Hydrocodone,3818,Synthetic opioids,12.26885,1083,13.06541
2001,Nevada,Oxycodone,3818,Synthetic opioids,12.26885,1066,12.62009
2001,New Hampshire,Hydrocodone,3951,All opioids,6.07837,1121,2.5222700000000002
2001,New Hampshire,Oxycodone,3951,All opioids,6.07837,1104,11.577689999999999
2001,New Jersey,Hydrocodone,4084,Synthetic opioids,8.13818,1159,2.56983
2001,New Jersey,Oxycodone,4084,Synthetic opioids,8.13818,1142,8.1134
2001,New Mexico,Hydrocodone,4217,Natural and semi-synthetic opioids,14.356320000000002,1197,4.5647199999999994
2001,New Mexico,Oxycodone,4217,Natural and semi-synthetic opioids,14.356320000000002,1180,6.68
2001,New York,Hydrocodone,4350,Synthetic opioids,5.57976,1235,3.55381
2001,New York,Oxycodone,4350,Synthetic opioids,5.57976,1218,3.5288199999999996
2001,North Carolina,Hydrocodone,4483,Synthetic opioids,6.639819999999999,1273,5.736280000000001
2001,North Carolina,Oxycodone,4483,Synthetic opioids,6.639819999999999,1256,8.90888
2001,Ohio,Hydrocodone,4749,Synthetic opioids,6.47055,1349,4.71115
2001,Ohio,Oxycodone,4749,Synthetic opioids,6.47055,1332,9.072980000000001
2001,Oklahoma,Hydrocodone,4882,Synthetic opioids,7.96091,1387,9.755
2001,Oklahoma,Oxycodone,4882,Synthetic opioids,7.96091,1370,6.767860000000001
2001,Oregon,Hydrocodone,5015,Natural and semi-synthetic opioids,6.87387,1425,6.97928
2001,Oregon,Oxycodone,5015,Natural and semi-synthetic opioids,6.87387,1408,10.123280000000001
2001,Pennsylvania,Hydrocodone,5148,Synthetic opioids,7.89757,1463,3.7176400000000003
2001,Pennsylvania,Oxycodone,5148,Synthetic opioids,7.89757,1446,10.723360000000001
2001,Rhode Island,Hydrocodone,5281,Cocaine,10.2027,1501,4.14088
2001,Rhode Island,Oxycodone,5281,Cocaine,10.2027,1484,8.61308
2001,South Carolina,Hydrocodone,5414,Natural and semi-synthetic opioids,5.942080000000001,1539,6.26438
2001,South Carolina,Oxycodone,5414,Natural and semi-synthetic opioids,5.942080000000001,1522,9.1223
2001,South Dakota,Hydrocodone,5546,All drugs,3.2248099999999997,1577,2.55
2001,South Dakota,Oxycodone,5546,All drugs,3.2248099999999997,1560,3.8271300000000004
2001,Tennessee,Hydrocodone,5680,Natural and semi-synthetic opioids,7.34271,1615,9.20507
2001,Tennessee,Oxycodone,5680,Natural and semi-synthetic opioids,7.34271,1598,8.83769
2001,Texas,Hydrocodone,5813,Synthetic opioids,6.55817,1653,8.332460000000001
2001,Texas,Oxycodone,5813,Synthetic opioids,6.55817,1636,3.53445
2001,Utah,Hydrocodone,5946,Natural and semi-synthetic opioids,10.445839999999999,1691,6.43133
2001,Utah,Oxycodone,5946,Natural and semi-synthetic opioids,10.445839999999999,1674,7.50745
2001,Vermont,Hydrocodone,6079,All opioids,7.0899,1729,2.04612
2001,Vermont,Oxycodone,6079,All opioids,7.0899,1712,7.46696
2001,Virginia,Hydrocodone,6212,Synthetic opioids,6.16646,1767,4.09167
2001,Virginia,Oxycodone,6212,Synthetic opioids,6.16646,1750,7.9776
2001,Washington,Hydrocodone,6345,Synthetic opioids,8.12953,1805,5.39125
2001,Washington,Oxycodone,6345,Synthetic opioids,8.12953,1788,10.39595
2001,West Virginia,Hydrocodone,6478,Synthetic opioids,11.469619999999999,1843,8.87277
2001,West Virginia,Oxycodone,6478,Synthetic opioids,11.469619999999999,1826,10.79037
2001,Wisconsin,Hydrocodone,6611,Synthetic opioids,4.97187,1881,3.53959
2001,Wisconsin,Oxycodone,6611,Synthetic opioids,4.97187,1864,6.95194
2001,Wyoming,Hydrocodone,6743,All drugs,4.50323,1919,4.5144
2001,Wyoming,Oxycodone,6743,All drugs,4.50323,1902,5.31562
2002,Alabama,Hydrocodone,96,Natural and semi-synthetic opioids,4.76194,20,12.81029
2002,Alabama,Oxycodone,96,Natural and semi-synthetic opioids,4.76194,3,7.80123
2002,Alaska,Hydrocodone,228,All drugs,12.19951,58,5.74049
2002,Alaska,Oxycodone,228,All drugs,12.19951,41,17.205779999999997
2002,Arizona,Hydrocodone,362,Synthetic opioids,12.00504,96,6.12019
2002,Arizona,Oxycodone,362,Synthetic opioids,12.00504,79,12.74315
2002,Arkansas,Hydrocodone,495,Synthetic opioids,6.82742,134,9.2347
2002,Arkansas,Oxycodone,495,Synthetic opioids,6.82742,117,6.515630000000001
2002,California,Hydrocodone,628,Synthetic opioids,8.67034,172,7.561660000000001
2002,California,Oxycodone,628,Synthetic opioids,8.67034,155,4.87753
2002,Colorado,Hydrocodone,761,Synthetic opioids,9.71688,210,5.23684
2002,Colorado,Oxycodone,761,Synthetic opioids,9.71688,193,8.36588
2002,Connecticut,Hydrocodone,894,Natural and semi-synthetic opioids,10.27133,248,3.58762
2002,Connecticut,Oxycodone,894,Natural and semi-synthetic opioids,10.27133,231,14.00725
2002,Delaware,Hydrocodone,1027,Cocaine,10.453560000000001,286,3.4429800000000004
2002,Delaware,Oxycodone,1027,Cocaine,10.453560000000001,269,14.065079999999998
2002,Dist. of Columbia,Hydrocodone,1160,Cocaine,10.88749,324,1.53332
2002,Dist. of Columbia,Oxycodone,1160,Cocaine,10.88749,307,6.8624600000000004
2002,Florida,Hydrocodone,1293,Synthetic opioids,11.83694,362,8.47521
2002,Florida,Oxycodone,1293,Synthetic opioids,11.83694,345,14.44077
2002,Georgia,Hydrocodone,1426,Synthetic opioids,6.51536,400,8.18108
2002,Georgia,Oxycodone,1426,Synthetic opioids,6.51536,383,8.17436
2002,Hawaii,Hydrocodone,1559,Natural and semi-synthetic opioids,6.12514,438,3.88576
2002,Hawaii,Oxycodone,1559,Natural and semi-synthetic opioids,6.12514,421,9.253739999999999
2002,Idaho,Hydrocodone,1692,Natural and semi-synthetic opioids,9.13321,476,8.064039999999999
2002,Idaho,Oxycodone,1692,Natural and semi-synthetic opioids,9.13321,459,6.0210099999999995
2002,Illinois,Hydrocodone,1825,Synthetic opioids,7.91321,514,4.69324
2002,Illinois,Oxycodone,1825,Synthetic opioids,7.91321,497,2.71889
2002,Indiana,Hydrocodone,1958,Natural and semi-synthetic opioids,4.8099099999999995,552,9.04118
2002,Indiana,Oxycodone,1958,Natural and semi-synthetic opioids,4.8099099999999995,535,6.68308
2002,Iowa,Hydrocodone,2091,All opioids,3.12563,590,4.10175
2002,Iowa,Oxycodone,2091,All opioids,3.12563,573,4.69592
2002,Kansas,Hydrocodone,2224,Natural and semi-synthetic opioids,6.44873,628,6.88041
2002,Kansas,Oxycodone,2224,Natural and semi-synthetic opioids,6.44873,611,6.18896
2002,Kentucky,Hydrocodone,2357,Synthetic opioids,10.451939999999999,666,13.80918
2002,Kentucky,Oxycodone,2357,Synthetic opioids,10.451939999999999,649,8.89361
2002,Louisiana,Hydrocodone,2490,Natural and semi-synthetic opioids,8.252310000000001,704,11.78012
2002,Louisiana,Oxycodone,2490,Natural and semi-synthetic opioids,8.252310000000001,687,7.04207
2002,Maine,Hydrocodone,2623,Natural and semi-synthetic opioids,10.93835,742,4.82451
2002,Maine,Oxycodone,2623,Natural and semi-synthetic opioids,10.93835,725,13.572679999999998
2002,Maryland,Hydrocodone,2756,Natural and semi-synthetic opioids,12.88419,780,3.13088
2002,Maryland,Oxycodone,2756,Natural and semi-synthetic opioids,12.88419,763,12.38455
2002,Massachusetts,Hydrocodone,2889,Synthetic opioids,10.72259,818,2.76736
2002,Massachusetts,Oxycodone,2889,Synthetic opioids,10.72259,801,12.80147
2002,Michigan,Hydrocodone,3022,Synthetic opioids,7.48296,856,7.84013
2002,Michigan,Oxycodone,3022,Synthetic opioids,7.48296,839,5.73382
2002,Minnesota,Hydrocodone,3155,Natural and semi-synthetic opioids,3.9480199999999996,894,2.49301
2002,Minnesota,Oxycodone,3155,Natural and semi-synthetic opioids,3.9480199999999996,877,5.45725
2002,Mississippi,Hydrocodone,3288,All opioids,6.633769999999999,932,8.46064
2002,Mississippi,Oxycodone,3288,All opioids,6.633769999999999,915,6.08878
2002,Missouri,Hydrocodone,3421,Synthetic opioids,7.4650300000000005,970,6.1056099999999995
2002,Missouri,Oxycodone,3421,Synthetic opioids,7.4650300000000005,953,16.51436
2002,Montana,Hydrocodone,3554,All opioids,8.66328,1008,6.39594
2002,Montana,Oxycodone,3554,All opioids,8.66328,991,9.31386
2002,Nebraska,Hydrocodone,3687,All opioids,3.94265,1046,4.7329
2002,Nebraska,Oxycodone,3687,All opioids,3.94265,1029,5.44522
2002,Nevada,Hydrocodone,3820,Synthetic opioids,14.750010000000001,1084,20.365779999999997
2002,Nevada,Oxycodone,3820,Synthetic opioids,14.750010000000001,1067,16.719720000000002
2002,New Hampshire,Hydrocodone,3953,Cocaine,8.665460000000001,1122,3.0292
2002,New Hampshire,Oxycodone,3953,Cocaine,8.665460000000001,1105,12.1054
2002,New Jersey,Hydrocodone,4086,Synthetic opioids,9.330060000000001,1160,2.84152
2002,New Jersey,Oxycodone,4086,Synthetic opioids,9.330060000000001,1143,9.53476
2002,New Mexico,Hydrocodone,4219,Natural and semi-synthetic opioids,16.10313,1198,5.36825
2002,New Mexico,Oxycodone,4219,Natural and semi-synthetic opioids,16.10313,1181,7.59846
2002,New York,Hydrocodone,4352,Synthetic opioids,4.78504,1236,4.52922
2002,New York,Oxycodone,4352,Synthetic opioids,4.78504,1219,4.62376
2002,North Carolina,Hydrocodone,4485,Synthetic opioids,7.72613,1274,6.24212
2002,North Carolina,Oxycodone,4485,Synthetic opioids,7.72613,1257,8.06632
2002,Ohio,Hydrocodone,4751,Synthetic opioids,8.20322,1350,5.47005
2002,Ohio,Oxycodone,4751,Synthetic opioids,8.20322,1333,10.06275
2002,Oklahoma,Hydrocodone,4884,Synthetic opioids,7.068989999999999,1388,11.156239999999999
2002,Oklahoma,Oxycodone,4884,Synthetic opioids,7.068989999999999,1371,8.0805
2002,Oregon,Hydrocodone,5017,Psychostimulants,8.92688,1426,7.883310000000001
2002,Oregon,Oxycodone,5017,Psychostimulants,8.92688,1409,10.89814
2002,Pennsylvania,Hydrocodone,5150,Synthetic opioids,9.100389999999999,1464,4.52169
2002,Pennsylvania,Oxycodone,5150,Synthetic opioids,9.100389999999999,1447,11.297410000000001
2002,Rhode Island,Hydrocodone,5283,Cocaine,9.34551,1502,5.7952900000000005
2002,Rhode Island,Oxycodone,5283,Cocaine,9.34551,1485,10.837480000000001
2002,South Carolina,Hydrocodone,5416,Synthetic opioids,5.32429,1540,9.0924
2002,South Carolina,Oxycodone,5416,Synthetic opioids,5.32429,1523,9.86458
2002,South Dakota,Hydrocodone,5548,All drugs,3.0514200000000002,1578,3.23773
2002,South Dakota,Oxycodone,5548,All drugs,3.0514200000000002,1561,4.98332
2002,Tennessee,Hydrocodone,5682,Synthetic opioids,8.457139999999999,1616,12.004719999999999
2002,Tennessee,Oxycodone,5682,Synthetic opioids,8.457139999999999,1599,11.11225
2002,Texas,Hydrocodone,5815,Synthetic opioids,7.49702,1654,9.63631
2002,Texas,Oxycodone,5815,Synthetic opioids,7.49702,1637,3.9050300000000004
2002,Utah,Hydrocodone,5948,Psychostimulants,14.02106,1692,8.12246
2002,Utah,Oxycodone,5948,Psychostimulants,14.02106,1675,9.8043
2002,Vermont,Hydrocodone,6081,All opioids,7.506189999999999,1730,2.97316
2002,Vermont,Oxycodone,6081,All opioids,7.506189999999999,1713,9.02062
2002,Virginia,Hydrocodone,6214,Synthetic opioids,6.79558,1768,5.13211
2002,Virginia,Oxycodone,6214,Synthetic opioids,6.79558,1751,8.34498
2002,Washington,Hydrocodone,6347,Synthetic opioids,10.41421,1806,6.19488
2002,Washington,Oxycodone,6347,Synthetic opioids,10.41421,1789,11.78209
2002,West Virginia,Hydrocodone,6480,Synthetic opioids,12.94549,1844,12.292589999999999
2002,West Virginia,Oxycodone,6480,Synthetic opioids,12.94549,1827,11.61115
2002,Wisconsin,Hydrocodone,6613,Synthetic opioids,6.18748,1882,4.09844
2002,Wisconsin,Oxycodone,6613,Synthetic opioids,6.18748,1865,7.9539
2002,Wyoming,Hydrocodone,6745,All drugs,6.9214199999999995,1920,5.41141
2002,Wyoming,Oxycodone,6745,All drugs,6.9214199999999995,1903,7.0835
2003,Alabama,Hydrocodone,98,Natural and semi-synthetic opioids,4.43332,21,15.488520000000001
2003,Alabama,Oxycodone,98,Natural and semi-synthetic opioids,4.43332,4,9.261280000000001
2003,Alaska,Hydrocodone,230,All drugs,12.72451,59,6.4720699999999995
2003,Alaska,Oxycodone,230,All drugs,12.72451,42,15.646460000000001
2003,Arizona,Hydrocodone,364,Synthetic opioids,12.74049,97,7.2625399999999996
2003,Arizona,Oxycodone,364,Synthetic opioids,12.74049,80,15.39839
2003,Arkansas,Hydrocodone,497,Synthetic opioids,7.03137,135,10.48047
2003,Arkansas,Oxycodone,497,Synthetic opioids,7.03137,118,7.469119999999999
2003,California,Hydrocodone,630,Synthetic opioids,8.92825,173,9.063989999999999
2003,California,Oxycodone,630,Synthetic opioids,8.92825,156,5.984380000000001
2003,Colorado,Hydrocodone,763,Synthetic opioids,10.74973,211,5.94077
2003,Colorado,Oxycodone,763,Synthetic opioids,10.74973,194,9.630189999999999
2003,Connecticut,Hydrocodone,896,Natural and semi-synthetic opioids,8.75895,249,3.85066
2003,Connecticut,Oxycodone,896,Natural and semi-synthetic opioids,8.75895,232,16.439870000000003
2003,Delaware,Hydrocodone,1029,All opioids,9.415289999999999,287,4.11224
2003,Delaware,Oxycodone,1029,All opioids,9.415289999999999,270,20.710929999999998
2003,Dist. of Columbia,Hydrocodone,1162,Cocaine,18.11434,325,1.73541
2003,Dist. of Columbia,Oxycodone,1162,Cocaine,18.11434,308,9.15258
2003,Florida,Hydrocodone,1295,Synthetic opioids,12.35802,363,10.60529
2003,Florida,Oxycodone,1295,Synthetic opioids,12.35802,346,16.50698
2003,Georgia,Hydrocodone,1428,Synthetic opioids,6.94383,401,9.31122
2003,Georgia,Oxycodone,1428,Synthetic opioids,6.94383,384,9.18937
2003,Hawaii,Hydrocodone,1561,Psychostimulants,7.1104,439,4.53779
2003,Hawaii,Oxycodone,1561,Psychostimulants,7.1104,422,9.6607
2003,Idaho,Hydrocodone,1694,Natural and semi-synthetic opioids,7.907839999999999,477,9.66837
2003,Idaho,Oxycodone,1694,Natural and semi-synthetic opioids,7.907839999999999,460,7.008769999999999
