Index,Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
102,1,Alabama,All opioids,2005,"Rate per 100,000",1.75091,0.38509304
103,1,Alabama,All drugs,2006,"Rate per 100,000",8.74979,0.865565441
104,1,Alabama,All opioids,2006,"Rate per 100,000",2.70266,0.478980823
105,1,Alabama,All drugs,2007,"Rate per 100,000",11.08849,0.970505482
106,1,Alabama,All opioids,2007,"Rate per 100,000",3.59468,0.552587937
107,1,Alabama,All drugs,2008,"Rate per 100,000",12.98109,1.044515513
108,1,Alabama,All opioids,2008,"Rate per 100,000",4.11182,0.597388796
109,1,Alabama,All drugs,2009,"Rate per 100,000",13.60768,1.075162618
110,1,Alabama,All opioids,2009,"Rate per 100,000",4.4807,0.618292586
111,1,Alabama,All drugs,2010,"Rate per 100,000",11.76882,0.998805473
112,1,Alabama,All opioids,2010,"Rate per 100,000",4.05494,0.586743487
113,1,Alabama,All drugs,2011,"Rate per 100,000",11.76317,0.995731521
114,1,Alabama,All opioids,2011,"Rate per 100,000",3.76866,0.563552007
115,1,Alabama,All drugs,2012,"Rate per 100,000",12.07062,1.013749971
116,1,Alabama,All opioids,2012,"Rate per 100,000",3.6097,0.558909839
117,1,Alabama,All drugs,2013,"Rate per 100,000",12.7176,1.037480232
118,1,Alabama,All opioids,2013,"Rate per 100,000",3.51166,0.542670272
119,1,Alabama,All drugs,2014,"Rate per 100,000",15.15321,1.12669485
120,1,Alabama,All opioids,2014,"Rate per 100,000",5.63612,0.684783922
121,1,Alabama,All drugs,2015,"Rate per 100,000",15.66395,1.153635336
122,1,Alabama,All opioids,2015,"Rate per 100,000",6.13273,0.727460768
123,1,Alabama,All drugs,2016,"Rate per 100,000",16.20754,1.180731585
124,1,Alabama,All opioids,2016,"Rate per 100,000",7.48004,0.80730273
125,1,Alabama,All drugs,2017,"Rate per 100,000",17.98034,1.24609452
126,1,Alabama,All opioids,2017,"Rate per 100,000",9.04533,0.881471517
127,1,Alabama,All drugs,2018,"Rate per 100,000",16.60924,1.198624104
128,1,Alabama,All opioids,2018,"Rate per 100,000",8.27228,0.850469819
129,1,Alabama,Cocaine,2018,"Rate per 100,000",1.88612,0.405060037
130,1,Alabama,Heroin,2018,"Rate per 100,000",3.05862,0.521752541
131,1,Alabama,Natural and semi-synthetic opioids,2018,"Rate per 100,000",2.62367,0.472029083
132,1,Alabama,Psychostimulants,2018,"Rate per 100,000",3.45432,0.554808488
133,1,Alabama,Synthetic opioids,2018,"Rate per 100,000",3.25066,0.537697651
134,2,Alaska,Cocaine,2000,"Rate per 100,000",N/A,N/A
135,2,Alaska,Heroin,2000,"Rate per 100,000",N/A,N/A
136,2,Alaska,Natural and semi-synthetic opioids,2000,"Rate per 100,000",3.14827,1.353756298
137,2,Alaska,Psychostimulants,2000,"Rate per 100,000",N/A,N/A
138,2,Alaska,Synthetic opioids,2000,"Rate per 100,000",N/A,N/A
139,2,Alaska,Cocaine,2001,"Rate per 100,000",N/A,N/A
140,2,Alaska,Heroin,2001,"Rate per 100,000",N/A,N/A
141,2,Alaska,Natural and semi-synthetic opioids,2001,"Rate per 100,000",N/A,N/A
142,2,Alaska,Psychostimulants,2001,"Rate per 100,000",N/A,N/A
143,2,Alaska,Synthetic opioids,2001,"Rate per 100,000",N/A,N/A
144,2,Alaska,Cocaine,2002,"Rate per 100,000",N/A,N/A
145,2,Alaska,Heroin,2002,"Rate per 100,000",N/A,N/A
146,2,Alaska,Natural and semi-synthetic opioids,2002,"Rate per 100,000",N/A,N/A
147,2,Alaska,Psychostimulants,2002,"Rate per 100,000",N/A,N/A
148,2,Alaska,Synthetic opioids,2002,"Rate per 100,000",N/A,N/A
149,2,Alaska,Cocaine,2003,"Rate per 100,000",N/A,N/A
150,2,Alaska,Heroin,2003,"Rate per 100,000",N/A,N/A
151,2,Alaska,Natural and semi-synthetic opioids,2003,"Rate per 100,000",N/A,N/A
152,2,Alaska,Psychostimulants,2003,"Rate per 100,000",N/A,N/A
153,2,Alaska,Synthetic opioids,2003,"Rate per 100,000",N/A,N/A
154,2,Alaska,Cocaine,2004,"Rate per 100,000",N/A,N/A
155,2,Alaska,Heroin,2004,"Rate per 100,000",N/A,N/A
156,2,Alaska,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,N/A
157,2,Alaska,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
158,2,Alaska,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
159,2,Alaska,Cocaine,2005,"Rate per 100,000",N/A,N/A
160,2,Alaska,Heroin,2005,"Rate per 100,000",N/A,N/A
161,2,Alaska,Natural and semi-synthetic opioids,2005,"Rate per 100,000",N/A,N/A
162,2,Alaska,Psychostimulants,2005,"Rate per 100,000",N/A,N/A
163,2,Alaska,Synthetic opioids,2005,"Rate per 100,000",N/A,N/A
164,2,Alaska,Cocaine,2006,"Rate per 100,000",N/A,N/A
165,2,Alaska,Heroin,2006,"Rate per 100,000",N/A,N/A
166,2,Alaska,Natural and semi-synthetic opioids,2006,"Rate per 100,000",N/A,0.987858469
167,2,Alaska,Psychostimulants,2006,"Rate per 100,000",N/A,N/A
168,2,Alaska,Synthetic opioids,2006,"Rate per 100,000",N/A,N/A
169,2,Alaska,Cocaine,2007,"Rate per 100,000",N/A,N/A
170,2,Alaska,Heroin,2007,"Rate per 100,000",N/A,N/A
171,2,Alaska,Natural and semi-synthetic opioids,2007,"Rate per 100,000",N/A,N/A
172,2,Alaska,Psychostimulants,2007,"Rate per 100,000",N/A,N/A
173,2,Alaska,Synthetic opioids,2007,"Rate per 100,000",N/A,N/A
174,2,Alaska,Cocaine,2008,"Rate per 100,000",3.68356,1.43372643
175,2,Alaska,Heroin,2008,"Rate per 100,000",N/A,N/A
176,2,Alaska,Natural and semi-synthetic opioids,2008,"Rate per 100,000",7.20372,2.004432528
177,2,Alaska,Psychostimulants,2008,"Rate per 100,000",N/A,N/A
178,2,Alaska,Synthetic opioids,2008,"Rate per 100,000",N/A,1.101644137
179,2,Alaska,Cocaine,2009,"Rate per 100,000",3.54325,1.442898273
180,2,Alaska,Heroin,2009,"Rate per 100,000",N/A,N/A
181,2,Alaska,Natural and semi-synthetic opioids,2009,"Rate per 100,000",8.1218,2.092262003
182,2,Alaska,Psychostimulants,2009,"Rate per 100,000",N/A,N/A
183,2,Alaska,Synthetic opioids,2009,"Rate per 100,000",2.9108,1.238214414
184,2,Alaska,Cocaine,2010,"Rate per 100,000",N/A,N/A
185,2,Alaska,Heroin,2010,"Rate per 100,000",N/A,N/A
186,2,Alaska,Natural and semi-synthetic opioids,2010,"Rate per 100,000",5.38145,1.765905526
187,2,Alaska,Psychostimulants,2010,"Rate per 100,000",N/A,N/A
188,2,Alaska,Synthetic opioids,2010,"Rate per 100,000",N/A,0.964010236
189,2,Alaska,Cocaine,2011,"Rate per 100,000",N/A,N/A
190,2,Alaska,Heroin,2011,"Rate per 100,000",N/A,0.899181658
191,2,Alaska,Natural and semi-synthetic opioids,2011,"Rate per 100,000",4.79147,1.594279564
192,2,Alaska,Psychostimulants,2011,"Rate per 100,000",N/A,N/A
193,2,Alaska,Synthetic opioids,2011,"Rate per 100,000",N/A,N/A
194,2,Alaska,Cocaine,2012,"Rate per 100,000",2.6837,1.147690654
195,2,Alaska,Heroin,2012,"Rate per 100,000",2.93086,1.208340043
196,2,Alaska,Natural and semi-synthetic opioids,2012,"Rate per 100,000",5.72568,1.806653485
197,2,Alaska,Psychostimulants,2012,"Rate per 100,000",3.02941,1.253236175
198,2,Alaska,Synthetic opioids,2012,"Rate per 100,000",N/A,N/A
199,2,Alaska,Cocaine,2013,"Rate per 100,000",N/A,N/A
200,2,Alaska,Heroin,2013,"Rate per 100,000",3.22412,1.323742297
201,2,Alaska,Natural and semi-synthetic opioids,2013,"Rate per 100,000",5.17046,1.718348468
202,2,Alaska,Psychostimulants,2013,"Rate per 100,000",3.4016,1.447184205
203,2,Alaska,Synthetic opioids,2013,"Rate per 100,000",N/A,0.878307139
204,2,Alaska,Cocaine,2014,"Rate per 100,000",N/A,N/A
205,2,Alaska,Heroin,2014,"Rate per 100,000",3.26737,1.308881493
206,2,Alaska,Natural and semi-synthetic opioids,2014,"Rate per 100,000",5.6327,1.805820634
207,2,Alaska,Psychostimulants,2014,"Rate per 100,000",3.90544,1.450598717
208,2,Alaska,Synthetic opioids,2014,"Rate per 100,000",N/A,1.048286263
209,2,Alaska,Cocaine,2015,"Rate per 100,000",N/A,N/A
210,2,Alaska,Heroin,2015,"Rate per 100,000",4.66807,1.532539815
211,2,Alaska,Natural and semi-synthetic opioids,2015,"Rate per 100,000",6.53769,1.833025786
212,2,Alaska,Psychostimulants,2015,"Rate per 100,000",3.50287,1.351179242
213,2,Alaska,Synthetic opioids,2015,"Rate per 100,000",N/A,0.930351442
214,2,Alaska,Cocaine,2016,"Rate per 100,000",N/A,N/A
215,2,Alaska,Heroin,2016,"Rate per 100,000",6.46416,1.853230446
216,2,Alaska,Natural and semi-synthetic opioids,2016,"Rate per 100,000",6.07587,1.818639843
217,2,Alaska,Psychostimulants,2016,"Rate per 100,000",6.26824,1.796659589
218,2,Alaska,Synthetic opioids,2016,"Rate per 100,000",N/A,N/A
219,2,Alaska,Cocaine,2017,"Rate per 100,000",N/A,N/A
220,2,Alaska,Heroin,2017,"Rate per 100,000",4.85595,1.623600592
221,2,Alaska,Natural and semi-synthetic opioids,2017,"Rate per 100,000",6.45743,1.899724179
222,2,Alaska,Psychostimulants,2017,"Rate per 100,000",9.1338,2.242231329
223,2,Alaska,Synthetic opioids,2017,"Rate per 100,000",4.86576,1.610198794
224,2,Alaska,All drugs,2000,"Rate per 100,000",7.10771,2.018228474
225,2,Alaska,All opioids,2000,"Rate per 100,000",4.00335,1.516884499
226,2,Alaska,All drugs,2001,"Rate per 100,000",9.39828,2.361303575
227,2,Alaska,All opioids,2001,"Rate per 100,000",N/A,N/A
228,2,Alaska,All drugs,2002,"Rate per 100,000",12.19951,2.616831151
229,2,Alaska,All opioids,2002,"Rate per 100,000",N/A,N/A
230,2,Alaska,All drugs,2003,"Rate per 100,000",12.72451,2.844038833
231,2,Alaska,All opioids,2003,"Rate per 100,000",N/A,N/A
232,2,Alaska,All drugs,2004,"Rate per 100,000",12.71642,2.737768386
233,2,Alaska,All opioids,2004,"Rate per 100,000",N/A,N/A
234,2,Alaska,All drugs,2005,"Rate per 100,000",11.37438,2.541940292
235,2,Alaska,All opioids,2005,"Rate per 100,000",N/A,N/A
236,2,Alaska,All drugs,2006,"Rate per 100,000",11.06038,2.544935554
237,2,Alaska,All opioids,2006,"Rate per 100,000",4.10747,1.519218066
238,2,Alaska,All drugs,2007,"Rate per 100,000",10.0941,2.362826379
239,2,Alaska,All opioids,2007,"Rate per 100,000",N/A,N/A
240,2,Alaska,All drugs,2008,"Rate per 100,000",18.13449,3.233097026
241,2,Alaska,All opioids,2008,"Rate per 100,000",12.49353,2.667756739
242,2,Alaska,All drugs,2009,"Rate per 100,000",17.85279,3.12876935
243,2,Alaska,All opioids,2009,"Rate per 100,000",12.4654,2.641070147
244,2,Alaska,All drugs,2010,"Rate per 100,000",11.59624,2.557226696
245,2,Alaska,All opioids,2010,"Rate per 100,000",8.74332,2.232748479
246,2,Alaska,All drugs,2011,"Rate per 100,000",14.23635,2.753314247
247,2,Alaska,All opioids,2011,"Rate per 100,000",8.7183,2.142242744
248,2,Alaska,All drugs,2012,"Rate per 100,000",17.42505,3.101385336
249,2,Alaska,All opioids,2012,"Rate per 100,000",10.8243,2.430360459
250,2,Alaska,All drugs,2013,"Rate per 100,000",14.3519,2.831177458
251,2,Alaska,All opioids,2013,"Rate per 100,000",9.24204,2.256632006
252,2,Alaska,All drugs,2014,"Rate per 100,000",16.7585,3.037637467
253,2,Alaska,All opioids,2014,"Rate per 100,000",10.55206,2.445593254
254,2,Alaska,All drugs,2015,"Rate per 100,000",15.9606,2.903783628
255,2,Alaska,All opioids,2015,"Rate per 100,000",11.03425,2.382162346
256,2,Alaska,All drugs,2016,"Rate per 100,000",16.83312,2.982469078
257,2,Alaska,All opioids,2016,"Rate per 100,000",12.50671,2.586908826
258,2,Alaska,All drugs,2017,"Rate per 100,000",20.16017,3.339310775
259,2,Alaska,All opioids,2017,"Rate per 100,000",13.87398,2.761216366
260,2,Alaska,All drugs,2018,"Rate per 100,000",14.6113,2.796476889
261,2,Alaska,All opioids,2018,"Rate per 100,000",8.76727,2.138924825
262,2,Alaska,Cocaine,2018,"Rate per 100,000",N/A,N/A
263,2,Alaska,Heroin,2018,"Rate per 100,000",3.82026,1.429574108
264,2,Alaska,Natural and semi-synthetic opioids,2018,"Rate per 100,000",4.47135,1.541780553
265,2,Alaska,Psychostimulants,2018,"Rate per 100,000",7.09296,1.973176184
266,2,Alaska,Synthetic opioids,2018,"Rate per 100,000",N/A,N/A
267,4,Arizona,Cocaine,2000,"Rate per 100,000",2.54091,0.446436495
268,4,Arizona,Heroin,2000,"Rate per 100,000",N/A,0.148377527
269,4,Arizona,Natural and semi-synthetic opioids,2000,"Rate per 100,000",1.8609,0.383290479
270,4,Arizona,Psychostimulants,2000,"Rate per 100,000",0.53437,0.202132523
271,4,Arizona,Synthetic opioids,2000,"Rate per 100,000",N/A,0.166363983
272,4,Arizona,Cocaine,2001,"Rate per 100,000",2.26495,0.41653955
273,4,Arizona,Heroin,2001,"Rate per 100,000",0.45847,0.187767967
274,4,Arizona,Natural and semi-synthetic opioids,2001,"Rate per 100,000",1.63395,0.354226684
275,4,Arizona,Psychostimulants,2001,"Rate per 100,000",1.04867,0.285501361
276,4,Arizona,Synthetic opioids,2001,"Rate per 100,000",0.39545,0.17377878
277,4,Arizona,Cocaine,2002,"Rate per 100,000",2.85696,0.465950847
278,4,Arizona,Heroin,2002,"Rate per 100,000",0.47844,0.192102456
279,4,Arizona,Natural and semi-synthetic opioids,2002,"Rate per 100,000",2.45045,0.427183186
280,4,Arizona,Psychostimulants,2002,"Rate per 100,000",0.94311,0.264864981
281,4,Arizona,Synthetic opioids,2002,"Rate per 100,000",0.37841,0.166900305
282,4,Arizona,Cocaine,2003,"Rate per 100,000",2.55853,0.435765922
283,4,Arizona,Heroin,2003,"Rate per 100,000",1.22339,0.300349871
284,4,Arizona,Natural and semi-synthetic opioids,2003,"Rate per 100,000",2.4954,0.427039032
285,4,Arizona,Psychostimulants,2003,"Rate per 100,000",1.27979,0.307151526
286,4,Arizona,Synthetic opioids,2003,"Rate per 100,000",0.41757,0.175206887
287,4,Arizona,Cocaine,2004,"Rate per 100,000",2.17248,0.396949649
288,4,Arizona,Heroin,2004,"Rate per 100,000",0.75659,0.235602396
289,4,Arizona,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.65447,0.433709433
290,4,Arizona,Psychostimulants,2004,"Rate per 100,000",1.51564,0.331496775
291,4,Arizona,Synthetic opioids,2004,"Rate per 100,000",0.53209,0.197826408
292,4,Arizona,Cocaine,2005,"Rate per 100,000",2.22009,0.392813981
293,4,Arizona,Heroin,2005,"Rate per 100,000",0.56141,0.195280662
294,4,Arizona,Natural and semi-synthetic opioids,2005,"Rate per 100,000",3.0544,0.460994121
295,4,Arizona,Psychostimulants,2005,"Rate per 100,000",1.75061,0.348318875
296,4,Arizona,Synthetic opioids,2005,"Rate per 100,000",0.63914,0.213058297
297,4,Arizona,Cocaine,2006,"Rate per 100,000",2.74704,0.429624647
298,4,Arizona,Heroin,2006,"Rate per 100,000",0.86401,0.24028847
299,4,Arizona,Natural and semi-synthetic opioids,2006,"Rate per 100,000",3.15593,0.455980533
300,4,Arizona,Psychostimulants,2006,"Rate per 100,000",1.87555,0.358818144
301,4,Arizona,Synthetic opioids,2006,"Rate per 100,000",0.91569,0.245868062
302,4,Arizona,Cocaine,2007,"Rate per 100,000",2.1229,0.372973323
303,4,Arizona,Heroin,2007,"Rate per 100,000",0.85211,0.234768582
304,4,Arizona,Natural and semi-synthetic opioids,2007,"Rate per 100,000",3.62394,0.484519695
305,4,Arizona,Psychostimulants,2007,"Rate per 100,000",1.78654,0.340664297
306,4,Arizona,Synthetic opioids,2007,"Rate per 100,000",0.61934,0.198039055
307,4,Arizona,Cocaine,2008,"Rate per 100,000",1.2215,0.276914358
308,4,Arizona,Heroin,2008,"Rate per 100,000",1.05556,0.26197693
309,4,Arizona,Natural and semi-synthetic opioids,2008,"Rate per 100,000",4.147,0.513162921
310,4,Arizona,Psychostimulants,2008,"Rate per 100,000",1.34354,0.294856459
311,4,Arizona,Synthetic opioids,2008,"Rate per 100,000",0.84244,0.238212126
312,4,Arizona,Cocaine,2009,"Rate per 100,000",1.56951,0.319209129
313,4,Arizona,Heroin,2009,"Rate per 100,000",1.35531,0.291844208
314,4,Arizona,Natural and semi-synthetic opioids,2009,"Rate per 100,000",5.00611,0.560391001
315,4,Arizona,Psychostimulants,2009,"Rate per 100,000",1.64342,0.326647222
316,4,Arizona,Synthetic opioids,2009,"Rate per 100,000",0.87011,0.231548073
317,4,Arizona,Cocaine,2010,"Rate per 100,000",1.01205,0.252371758
318,4,Arizona,Heroin,2010,"Rate per 100,000",1.46115,0.303453982
319,4,Arizona,Natural and semi-synthetic opioids,2010,"Rate per 100,000",5.17222,0.56738805
320,4,Arizona,Psychostimulants,2010,"Rate per 100,000",1.78208,0.341124982
321,4,Arizona,Synthetic opioids,2010,"Rate per 100,000",1.04324,0.25091343
322,4,Arizona,Cocaine,2011,"Rate per 100,000",0.89632,0.237805933
323,4,Arizona,Heroin,2011,"Rate per 100,000",1.85575,0.33954325
324,4,Arizona,Natural and semi-synthetic opioids,2011,"Rate per 100,000",4.89312,0.550080364
325,4,Arizona,Psychostimulants,2011,"Rate per 100,000",2.0452,0.361570925
326,4,Arizona,Synthetic opioids,2011,"Rate per 100,000",0.55874,0.174910796
327,4,Arizona,Cocaine,2012,"Rate per 100,000",0.87772,0.233566776
328,4,Arizona,Heroin,2012,"Rate per 100,000",1.60423,0.314822928
329,4,Arizona,Natural and semi-synthetic opioids,2012,"Rate per 100,000",5.04472,0.556772772
330,4,Arizona,Psychostimulants,2012,"Rate per 100,000",1.99229,0.35284707
331,4,Arizona,Synthetic opioids,2012,"Rate per 100,000",0.55673,0.185209833
332,4,Arizona,Cocaine,2013,"Rate per 100,000",0.71225,0.207182601
333,4,Arizona,Heroin,2013,"Rate per 100,000",2.29803,0.375959552
334,4,Arizona,Natural and semi-synthetic opioids,2013,"Rate per 100,000",3.9053,0.489158286
335,4,Arizona,Psychostimulants,2013,"Rate per 100,000",2.92736,0.42751205
336,4,Arizona,Synthetic opioids,2013,"Rate per 100,000",0.80761,0.223075871
337,4,Arizona,Cocaine,2014,"Rate per 100,000",0.74893,0.215010732
338,4,Arizona,Heroin,2014,"Rate per 100,000",3.05948,0.432092455
339,4,Arizona,Natural and semi-synthetic opioids,2014,"Rate per 100,000",4.2479,0.499536656
340,4,Arizona,Psychostimulants,2014,"Rate per 100,000",3.60649,0.474030375
341,4,Arizona,Synthetic opioids,2014,"Rate per 100,000",0.83788,0.221914085
342,4,Arizona,Cocaine,2015,"Rate per 100,000",0.94305,0.239628688
343,4,Arizona,Heroin,2015,"Rate per 100,000",3.79207,0.479715088
344,4,Arizona,Natural and semi-synthetic opioids,2015,"Rate per 100,000",4.53629,0.525483183
345,4,Arizona,Psychostimulants,2015,"Rate per 100,000",5.11098,0.558873653
346,4,Arizona,Synthetic opioids,2015,"Rate per 100,000",1.06789,0.251958231
347,4,Arizona,Cocaine,2016,"Rate per 100,000",1.21722,0.26870352
348,4,Arizona,Heroin,2016,"Rate per 100,000",4.49693,0.515838776
